#"Try and"# is common in colloquial speech, but #"try to"# is recommended for writing.	#“try and”#常用于口语，但写作建议用#“try to”#。
#"needs cut"# is only accepted in certain dialects. For something more widely acceptable, try #"cut" or "to be cut"#.	#“needs cut”#常出现在某些方言中。更广泛使用的是#“cut”或“to be cut”#。
#'Also'# is not used at the end of the sentence. Use #"as well"# instead.	#“also”#一般不用于句尾。通常用#“as well”#代替。
#'Each', 'every', 'either' and 'neither'# are used with singular and thus take a singular pronoun: #"his", "her", "his or her", "its"#	 #“each”、“every”、“either”和“neither”#与单数一起使用，因此取单数代词：#“his”、“her”、“his or her”、“its”#
#'Each', 'every', 'either' and 'neither'# are used with singular. Did you mean #"all"#?	#“each”、“every”、“either”和“neither”#与单数一起使用。你的意思是#“all”#？
#'Everyday'# is an adjective, and the comma is missing. Did you mean #"every day, I"#?	#“Everyday”#是一个形容词，没有逗号。你是要表达#"every day, I"吗#？
#'Everyday'# is an adjective. Did you mean #"every day"#?	#“Everyday”#是一个形容词。你是想说#“every day”#？
#'Going to'# requires the base form: #"be"#	#“Going to”#需要基本形式：#“be”#
#'Say'# cannot be followed by a direct personal object. Did you mean #"tell"#?	#'Say'#后面不能跟直接的个人物品。你是说#tell#吗？
#'So as to'# expresses purpose and is used in formal texts. Consider using #"to"#	#“So as to”#表示目的，并在正式文本中使用。考虑使用#“to”#
#'afraid'# is not a verb. You should rather write: #"You're not afraid"#.	#afraid#不是动词。你应该写下：#You're not afraid#。 
#'combine together'# is redundant. Use #"combine"#	#“combine together”#是多余的。使用#“combine”#
#'woman'# is the singular form of #'women'#. Consider using #"woman"#.	#“woman”#是#“women”#的单数形式。考虑使用#“woman”#。
A comma should precede the tag question (i.e., the yes/no-question at the end).	标记问题（即结尾的是/否问题）前应加逗号。
Possibly confused word: Did you mean #"message"# (= #communication, or what is communicated#) instead of #'massage'# (= #action of rubbing, kneading or hitting someone's body#)?	可能是混淆的词：你是指#"message"#（=#communication, or what is communicated#）而不是#'massage'#（=#action of rubbing, kneading or hitting someone's body#）？
Possibly wrong usage of #'Do'# in the question. Did you mean: #"can housework"#.	问题中#'Do'#的用法可能有误。你是说：#"can housework"#？
Probable usage error. Use #"Because I"# instead.	可能的使用错误。用#"Because I"#代替。
Probably a noun is missing in this part of the sentence.	可能句子的这一部分缺少一个名词。
Probably an incorrect phrase. Use #'the reason "is that"'#.	可能是不正确的词组。使用#'the reason "is that"'#。
Probably incorrect use of superlative #'worst'#. Consider using the comparative form instead.	可能不正确使用最高级的#'worst'#。考虑改用比较形式。
Put a space after the comma	在逗号后加一个空格
Reduce redundancy by using #"little"# or #"bit"#.	使用#"little"#或#"bit"#来减少冗余。
Redundant phrase. Consider using #"10 o'clock" or "10 am"#.	多余的短语。考虑使用#"10 o'clock" or "10 am"#。
Some style guides suggest that commas should set off the year in a month-day-year date: #"1985,"#.	一些风格指南建议逗号应在一个月一天的年份日期内开始年份：“#"1985,"#。 
Specify a number, remove phrase, or simply use #"many"# or #"numerous"#	指定一个数字，删除词组，或者简单地使用#"many"#或#"numerous"#
Substandard usage of #'let'#. The standard is: #"Let's not"#.	#'let'#的使用不规范。标准是：#"Let's not"#。
The adjective #afraid# is used with #'of'#: #"afraid of examinations"#.	形容词#afraid#与#'of'#连用,#"afraid of examinations"#。
The adverb #'Always'# is usually not used at the beginning of a sentence.	副词#'Always'#通常不用于句子的开头。
The adverb #'Always'# is usually not used at the end of a sentence.	副词#'Always'#通常不用于句尾。
The adverb #'Always'# usually goes after the verb #'are'#.	副词#'Always'#通常在动词#“are”#之后。
The adverb #'Sometimes'# is usually put before the verb #'Second'#.	副词#'Sometimes'#通常放在动词#'Second'#之前。
The adverb #'always'# is usually put after the verb #'am'#.	副词#“always”#通常放在动词#“am”#的后面。
The adverb #'always'# is usually put between #'have'# and #'fan'#.	副词#“always”#通常放在#“have”#和#“fan”#之间。
The adverb #'often'# is usually put between #'have' and 'come'#.	副词#'often'#通常放在#'have' and 'come'#之间。 
The adverb #'seldom'# is usually not used at the end of a sentence.	副词#'seldom'#通常不用于句尾。
The adverb #'sometimes'# is usually put between #'will' and 'be'#.	副词#'sometimes'#通常放在#'will' and 'be'#之间。
The adverb #'usually'# is usually put between #'have'# and #'till'#.	副词#'usually'#通常放在#'have'#和#'till'#之间。
The article is probably missing here: #"In the 1900s"#.	可能缺失了冠词：#"In the 1900s"#。
The comma is probably incorrect: #"Chinese"#	逗号可能不正确：#"Chinese"#
The comma is probably missing here: #"100, I"#.	这里可能缺少逗号：#"100, I"#。
The date #Dec 31, 2006# is not #a Friday#, but #a Sunday#.	#Dec 31, 2006#不是#a Friday#，而是#a Sunday#。
The extreme adjective for #bad# is #'"awful"', or '"terrible"', or '"horrible"'#.	#bad#的极端形容词是#'"awful"'，或'"terrible"'，或'"horrible"'#。
The genitive is possibly missing.	可能是缺少了和蔼。
The noun should be probably in the plural form: #"backs"#.	名词应该是复数形式：#"backs"#。
The noun should be probably in the singular form: #"(poetries)"#?	名词应该是单数形式：#"(poetries)"#？
The phrase #'A tremendous of'# is not correct. Use a noun, not an adjective, between #'A' and 'of'#.	短语#'A tremendous of'#不正确。在#'A' and 'of'#之间使用名词，而不是形容词。
The phrase #'Most every'# is colloquial. In formal/ written English you should avoid it. Use #"almost every"# instead!	短语#'Most every'#是口语化的。在正式/书面英语中，应避免使用。用#"almost every"#代替！
The phrase #'a ahead of'# is not correct. Use a noun, not an adjective, between #'a'# and #'of'#.	短语#'a ahead of'#不正确。使用名词，而不是形容词，介于#'a'# and #'of'#之间。
The phrase #'most every'# is colloquial. In formal/ written English you should avoid it. Use #"almost every"# instead!	短语#'most every'#是口语化的。在正式/书面英语中，应避免使用。用#"almost every"#代替！
The phrase #'most everyone'# is colloquial. In formal/ written English you should avoid it. Use #"almost everyone"# instead!	#'most everyone'#这个短语很口语化。在正式/书面英语中，应避免使用。用#"almost everyone"#代替！
The phrase #'regarding to'# is not correct. Use #"regarding"# or #"regard to"#.	短语#'regarding to'#不正确。使用#"regarding"#或#"regard to"#。
The pronoun #'I'# must be used with a non-third-person form of a verb: #"amn't", "aren't", "arenn't"#	代词#'I'#必须与动词的非第三人称形式一起使用：#"amn't", "aren't", "arenn't"#
The pronoun #'Nobody'# is usually used with a third-person or a past tense verb: #"doesn't", "didn't"#.	代词#'Nobody'#通常与第三人称或过去时动词连用：#"doesn't", "didn't"#。
The pronoun #I# must be used with #"Am"#.	代词#I#必须与#"Am"#连用。
The singular proper name #'Day'# must be used with a third-person or a past tense verb: #"brings", "brought"#.	单数专有名称#'Day'#必须与第三人称或过去时动词一起使用：#"brings", "brought"#。
The singular proper name #Englsh# must be used with #"is"#.	单数专有名称#Englsh#必须与#"is"#一起使用。
The usual collocation for #"accompany"# is #"by,"# not #"with."# It is better to say this: #"accompanied by"#.	#"accompany"#的常见搭配方式是#"by,"#，不是#"with."#，最好这样说：#"accompanied by"#。
The usual collocation for #"advertisement"# is #"for"# not #"of"#. Did you mean #"advertisement for"#.	通常，#"advertisement"#的搭配是#"for"#“不是”#"of"#。你的意思是#"advertisement for"#。
The usual collocation for #"afraid"# is #"of"# not #"from"#. Did you mean #"afraid of"#.	#"afraid"#的通常搭配是#"of"#不是#"from"#。你是说#"afraid of"#。
The usual collocation for #"afternoon"# is #"in"#. Revise: #"in the afternoon"#.	通常#"afternoon"#的搭配是#"in"#。修改：#"in the afternoon"#。
The usual collocation for #"aims"# is #"at"# not #"on"#. Did you mean #"aims at"#.	#"aims"#的常见搭配是#"at"#不是#"on"#。你的意思是#"aims at"#。
The usual collocation for #"came"# is #"by"#. Did you mean #"We came by Train"#.	#"came"#的通常搭配是#"by"#，你是说#"We came by Train"#。
The usual collocation for #"careful"# is #"with"# not #"for"#. Did you mean #"careful with"#.	#"careful"#通常与#"with"#搭配而不是#"for"#。你的意思是#"careful with"#。
The usual collocation for #"die"# is #"of"# not #"from"#. Did you mean #"die of"#.	#"die"#的常见搭配是#"of"#而不是#"from"#。你的意思是#"die of"#。 
The usual collocation for #"evening"# is #"in"#. Revise: #"in the evening"#.	#"evening"#通常的搭配是#"in"#。修改：#"in the evening"#。
The usual collocation for #"near"# is #"to"# not #"from"#. Did you mean simply #"near to"# or #"further from"#.	#"near"#的常见搭配是#"to"#而不是#“from”#。你的意思是#"near to"#还是#"further from"#。 
The usual collocation for #"tired"# is #"of"# or #"from"# not #"about"#. Did you mean #"tired of"# or #"tired from"#.	#"tired"#的通常搭配是#"of"#或#"from"#而不是#"about"#。你的意思是#"tired of"# or #"tired from"#。 
The usual collocation for #"to" and "a trip"# is #"to on a trip".# Did you mean #"go on a trip"?#	#"to"和"a trip"#通常的搭配是#"to on a trip"#。你是说#"go on a trip"？#
The usual collocation for #"weekend"# is #"over"# or #"during"#. Revise: #"over the weekend"# or #"during the weekend"#.	通常#"weekend"#的搭配是#"over"#或#"during"#。修改：#"over the weekend"#或#"during the weekend"#。
The usual collocation for an activity ending in #"-ing"# is #"go"# not #"do" or "play"# Revise: #"going volunteering", "gonna volunteering"#.	以#"-ing"#结尾的活动的常见搭配是#"go"#而不是#"do"或"play"#。修订：#“Going volunteing”、“Gong volunteing”#。
The usual collocation for an activity that does not end in #"-ing"# and is not something you can win is #"do"# not #"go"# or #"play".# Revise: #"did exercise", "do exercise", "does exercise", "doing exercise", "done exercise"#.	对于一个不以#“-ing”#结尾，也不是你能赢的活动，通常的搭配是#"do"#而不是#"go"#或#"play"#。修改：#"did exercise", "do exercise", "does exercise", "doing exercise", "done exercise"#
The usual collocation for an activity that does not end in #"-ing"# and is not something you can win is #"do"# not #"go"# or #"play."# Revise: #"doing exercise"#.	对于一个没有以#"-ing"#而不是你能赢的东西的活动，通常的搭配是#"do"#而不是#"go"#或#"play"#。修改：#"doing exercise"#
The usual collocation for an activity that does not end in #"-ing"# and is something you can win is #"play"# not #"do"# or #"go."# Revise: #"play ball"#.	对于一个不以#"-ing"#结尾的活动，通常的搭配是#"play"#而不是#"do"#或#"go"#。修改：#"play ball"#。 
The usual collocation for #technology# is #"on,"# not #"in."# It is better to say this: #"on the Internet"#.	#technology#的常见搭配是#"on"#，而不是，#“in”#。最好这样说：#"on the Internet"#。
The usual collocation for word #"interest"# is #"in"# not #"about."# Revise: #"more interest in"#.	#"interest"#一词的常见搭配是#"in"#而不是#"about"#,修改：#"more interest in"#。
The usual collocations for #"responsable"# is #"responsable for"#. Did you mean #"responsable for"# or #"in charge of"#?	#"responsable"#的通常搭配是#"responsable for"#。你的意思是#"responsable for"#还是#"in charge of"#？
The usual preposition for #"a trip"# with a named destination is #"to"#. Did you mean #"a trip to"#?	带指定目的地的#"a trip"#的惯用介词是#"to"#。你是说#"a trip to"#？
The usual preposition for #"afternoon"# is #'in'# not #"on"#. Try it like this:  #"in the afternoon"#.	通常#"afternoon"#的介词是#“in”#而不是#“on”#。试着这样做：#"in the afternoon"#。
The usual preposition for #"birthdays"# is #"on"#.  Revise: #"on His Birthday"#.	通常，#"birthdays"#的介词是#“on”#。修改：#"on His Birthday"#。
The usual preposition for #"concentrate"# is #"on"# not #"all"#.  Revise: #"concentrated on the time"#.	通常#"concentrate"#的介词是#“on”#而不是#“all”#。修改：#"concentrated on the time"#。
The usual preposition for #"contribution"# is #"to"#. Did you mean #"contribution to"#.	#"contribution"#常用的介词是#"to"#。你的意思是#"contribution to"#。
The usual preposition for #"evening"# is #'in'# not #"on"#. Try it like this:  #"in the evening"#.	#"evening"#的常用介词是#“in”#而不是#“on”#。试着这样做：#"in the evening"#。 
The usual preposition for #"island"# is #"on"# not #"in"#.  Revise: #"on an island"#.	通常，#“island”#的介词是#“on”#而不是#“in”#。修改：#"on an island"#。
The usual preposition for #"the weekend"# is #"on"#. Revise: #"on the weekend"# for American English, or #"at the weekend"# for British English.	#"the weekend"#的惯用介词是#"on"#，美国英语改为#“on the weekend”#，英国英语改为#“at the weekend”#。
The usual preposition for #"weekends"# is #"on."# Revise: #"on weekends"# for American English, or #"at the weekend"# for British English.	#"weekends"#的惯用介词是#“on”#，美国英语改为#“on weeks”#，英国英语改为#“at the weekend”#。
The usual preposition for #Earth# is #"on"#. Did you mean #"live on Earth"#?	#Earth#通常的介词是#"on"#。你的意思是#"live on Earth"#？
The usual preposition for #team membership# is #"on"# not #"in"#. Try it like this:  #"on the school's basketball team"#.	#team membership#的常用介词是#“on”#而不是#“in”#。试着这样做：#"on the school's basketball team"#。
The usual preposition for this expression is #"at"#. Did you mean, #"good at learning"#?	这个表达式常用的介词是#"at"#。你是说#"good at learning"#？
The usual preposition to follow #"difficult"# is #'for"# when followed by a pronoun. #"Difficult"# and #"to"# only appear together when #"to"# forms part of an infinitive structure.  Did you mean #"difficult for you"#?	通常在#"difficult"#后接的介词是#'for"#后接代词。#"Difficult"#和#"to"#只在#"to"#构成不定式结构的一部分时一起出现。你的意思是#"difficult for you"#吗？
The usual preposition to use with #"kind"# is "to." Did you mean "kind to"?	通常与#"kind"#连用的介词是"to."。你的意思是"kind to"？
The usual prepositions to use after #"consequence"# is #"of"# or #'for'# not #"on"#. Did you mean #"consequence of"# or #"consequence for"#?	#"consequence"#后面常用的介词是#"of"#或#'for'#而不是#"on"#。你的意思是#"consequence of"#还是#"consequence for"#？
The usual prepositions to use when in contact with the #side# is #"on"# not #"in"#. Did you mean #"on the right side"#?	与#side#接触时常用的介词是#"on"#而不是#“in”#。你是说#"on the right side"#？
The usual prepositions to use when #surrounded# is #"in"# not #"on"#. Did you mean #"in the center"#?	#surrounded#常用的介词是#"in"#而不是#“on”#。你的意思是#"in the center"#？
The usual proposition after #"arrive"# is #"at"# not #"on"#. Did you mean #"arrive at"#?	#"arrive"#后的通常建议是#"at"#而不是#"on"#。你是说#"arrive at"#？
The verb #'Can'# requires the base form of the verb: #"sport"#	动词#'Can'#需要动词的基本形式：#"sport"#
The verb #'Didn't'# requires base form of this verb: #"have"#	动词#'Didn't'#需要此动词的基本形式：#"have"#
The verb #'Do'# is plural. Did you mean: #"this does"#?	动词#'Do'#是复数。你的意思是：#"this does"#？
The verb #'Doesn't'# requires base form of this verb: #"like"#	动词#'Doesn't'#需要这个动词的基本形式：#"like"#
The verb #'Enjoys'# is used with the gerund form: #"Enjoys reading"#.	动词#'Enjoys'#与动名词形式一起使用：#"Enjoys reading"#。
The verb #'Liking'# is a stative verb and sometimes the progressive form is not correct. Try a simple form instead.	动词#'Liking'#是一个定语动词，有时累进形式不正确。尝试一个简单的表单。
The verb #'Should'# requires the base form of the verb: #"be"#	动词#'Should'#应该需要动词的基本形式：#"be"#
The verb #'Will'# requires the base form of the verb: #"get"#	动词#'Will'#需要动词的基本形式：#"get"#
The verb #'advise'# is plural. Did you mean: #"This advises"#?	动词#'advise'#是复数。你的意思是：#"This advises"#？
The verb #'advises'# is singular. Did you mean: #"This advises" or "these advise"#?	动词#'advises'#是单数。你的意思是：#"This advises" or "these advise"#？
The verb #'agreeing'# is a stative verb and sometimes the progressive form is not correct. Try a simple form instead.	动词#'agreeing'#是一个定语动词，有时累进形式不正确。尝试一个简单的表单。
The verb #'asks'# is singular. Did you mean: "This asks" or "these ask"?	动词#'asks'#是单数。你是说："This asks" or "these ask"？
The verb #'avoid'# is used with the gerund form: #"avoid facing"#.	动词#'avoid'#与动名词形式一起使用：#"avoid facing"#。
The verb #'behaves'# is singular. Did you mean: #"This behaves" or "these behave"#?	动词#'behaves'#是单数。你是说：#"This behaves" or "these behave"#？
The verb #'can'# requires base form of the verb: #"class"#	动词#'can'#需要动词的基本形式：#"class"#
The verb #'can'# requires the base form of the verb: #"accord"#	动词#'can'#需要动词的基本形式：#"accord"#
The verb #'concerning'# is a stative verb and sometimes the progressive form is not correct. Try a simple form instead.	动词#'concerning'#是一个定语动词，有时累进形式不正确。尝试一个简单的表单。
The verb #'contains'# is singular. Did you mean: #"This contains"# or #"those contain"#?	动词#'contains'#是单数。你的意思是：#"This contains"# or #"those contain"#？
The verb #'could'# requires the base form of the verb: #"accept"#	动词#'could'#需要动词的基本形式：#"accept"#
The verb #'did'# requires the base form of the verb: #"ask"#	动词#'did'#需要动词的基本形式：#"ask"#
The verb #'girts'# is singular. Did you mean: #"This girts" or "these girt"#?	动词#'girts'#是单数。你是说：#"This girts" or "these girt"#？
The verb #'happen'# usually requires the preposition #"to"#.	动词#'happen'#通常需要介词#"to"#。
The verb #'has'# is singular. Did you mean: #"This has"# or "These have", "These haven"?	动词#'has'#是单数。你的意思是：#"This has"# or "These have", "These haven"？
The verb #'hearing'# is a stative verb and sometimes the progressive form is not correct. Try a simple form instead.	动词#'hearing'#是一个定语动词，有时累进形式不正确。尝试一个简单的表单。
The verb #'help'# is used with infinitive: #"to act" or "act"#.	动词#'help'#与不定式连用：#"to act" or "act"#。
The verb #'is'# is singular. Did you mean: #"This is" or "These am", "These are", "These aren"#?	动词#'is'#是单数。你的意思是：#"This is" or "These am", "These are", "These aren"#？
The verb #'ll'# requires the base form of the verb: #"be"#	动词#'ll'#需要动词的基本形式：#"be"#
The verb #'may'# requires the base form of the verb: #"bite"#	动词#'may'#需要动词的基本形式：#"bite"#
The verb #'requires'# is singular. Did you mean: "This requires" or "these require"?	动词#'requires'#是单数。你是说："This requires" or "these require"？
The verb #'riles'# is singular. Did you mean: #"This riles" or "these rile"#?	动词#'riles'#是单数。你是说：#"This riles" or "these rile"#？
The verb #'should'# requires base form of the verb: #"teach"#	动词#'should'#应该需要动词的基本形式：#"teach"#
The verb #'suggests'# is singular. Did you mean: #"This suggests" or "these suggest"#?	动词#'suggests'#是单数。你是说：#"This suggests" or "these suggest"#？
The verb #'to ask someone'# does not require a preposition.	动词#'to ask someone'#不需要介词。
The verb #'to depend'# requires the preposition #'(up)on'#: #"Depend on"#.	动词#'to depend'#需要介词#'(up)on'#：#"Depend on"#。
The verb #'to rely'# requires the preposition #'(up)on'#: #"relied on"#.	动词#'to rely'#需要介词#'(up)on'#：#"relied on"#。
The verb #'to tell someone'# does not require a preposition.	动词#'to tell someone'#不需要介词。
The verb #'will'# requires the base form of the verb: #"absorb"#	动词#'will'#需要动词的基本形式：#"absorb"#
The verb #'worry'# does not normally take the preposition #'for'#. Did you mean #"worried about"#?	动词#'worry'#通常不采用介词#'for'#。你是说#"worried about"#吗？
The verb #'would'# requires the base form of the verb: #"appreciate"#	动词#'would'#需要动词的基本形式：#"appreciate"#
The verb after #"to"# should be in the base form: #"agree"#.	#"to"#后面的动词应采用基本形式：#"agree"#。
The word #'100-metre'# is an adjective (SI unit of measurement), but the spelling is not correct American English.	#'100-metre'#是一个形容词（国际单位制计量单位），但拼写不正确的美国英语。
The word #'1200-meters'# is an adjective (SI unit of measurement), but the spelling is not correct. Do not use a plural adjective. Refer to section 5.3.3 in 'The International System of Units (SI)'.	#'1200-meters'#是一个形容词（国际单位制计量单位），但拼写不正确。不要用复数形容词。参见“国际单位制（SI）”第5.3.3节。
The words #"come in"# and #"come to"# have different meanings. #"Come in my office"# means #"have an orgasm in my office."# #"Come to"# or #"Come into"# means #"enter."# Did you mean #"come to"# or "come into"?	 #"come in"#和#"come to"#两个词有不同的含义。#"Come in my office"#是指#"have an orgasm in my office."##"Come to"#或#"Come into"#是指#"enter."#。你是指#"come to"#或"come into"？
There isn't usually a preposition after #"enter"#. Did you mean #"enter an new"#.	在#"enter"#之后通常没有介词。你的意思是#"enter an new"#。
There isn't usually a preposition before #"Somewhere"#. Did you mean #"go Somewhere"#.	在#"Somewhere"#之前通常没有介词。你的意思是#"go Somewhere"#吗？
There should be no space here: #"o'clock"#.	这里应该没有空间：#"o'clock"#。
This adjective uses the short comparatives form.	这个形容词使用短的比较级形式。
This contractions is incorrect. Please, check the apostrophe position.	这种收缩是不正确的。请检查撇号位置。
This expression is normally spelled as one or with hyphen.	此表达式通常拼写为一个或带连字符。
This is a collocation error. Use #"in"# for rooms. Revise: #"in the Room"#.	这是并置错误。房间使用#"in"#。修改：#"in the Room"#。
This is a collocation error. You do not need a preposition after #"ask'#. Remove it: #"ask"#.	这是并置错误。#"ask'#后不需要介词。删除它：#"ask"#。
This is a non-standard collocation. Normally, #"last night"# is used.	这是一个不标准的搭配。通常使用#"last night"#。
This phrase can sound awkward in English. Consider using #"in my opinion"# or #"I think"#.	这个短语在英语中听起来很难听。考虑使用#"in my opinion"#或#"I think"#。
This phrase is duplicated. You should probably leave only #"After days"#.	这个短语是重复的。你应该在#"After days"#才离开。
This phrase is nonstandard. Did you mean #"all in all"# (=#after all, nevertheless#)?	这个短语不规范。你的意思是#"all in all"#吗（#after all, nevertheless#）？
This phrase is probably grammatically incorrect. Write #"These"# instead.	这个短语可能语法错误。改为写#"These"#。
This phrase is redundant. Consider using #"because"#.	这个短语是多余的。考虑使用#"because"#。
This phrase is used with #'be'#: #"be 1200 years old".#	这个短语与#'be'#：#"be 1200 years old".#连用。
This sentence does not start with an uppercase letter	这句话不是以大写字母开头的
This sounds awkward in English. The standard is #"the question of why"#.	这在英语中听起来很尴尬。标准是#"the question of why"#。
This verb is used with the infinitive: #"to arrive"#	这个动词与不定式连用：#"to arrive"#
This word is considered offensive.	这个词被认为是冒犯性的。
This word is normally spelled as one.	这个词通常拼成一个。
This word is normally spelled with hyphen.	这个词通常用连字符拼写。
This word is usually spelt together: #"eyesight"#.	这个词通常拼在一起：#"eyesight"#。
This word is usually written together. Did you mean #"without"#?	这个词通常写在一起。你是说#"without"#？
Three successive sentences begin with the same word. Consider rewording the sentence or use a thesaurus to find a synonym.	三个连续的句子以同一个词开头。考虑改写句子或使用同义词库查找同义词。
Two consecutive dots	两个连续点
Two modal verbs connected. Do you mean: #"can, could", "can" or "could"#?	连接两个情态动词。你的意思是：#"can, could", "can" or "could"#？
Two successive sentences begin with the same adverb. Consider rewording the sentence or use a thesaurus to find a synonym.	两个连续的句子以同一个副词开头。考虑改写句子或使用同义词库查找同义词。
Uncountable nouns are usually not used with an indefinite article. Use simply #"English news"#.	不可数名词通常不与不定冠词连用。使用简单的#"English news"#。
Unless you mean #"in a political party,"# the usual preposition for a party is #"at."# Did you mean, #"at a party"#?	除非你的意思是#"in a political party,"#，否则一个政党通常的介词是#“at”#。你的意思是#"at a party"#？
Unpaired symbol: #'('# seems to be missing	未配对的符号：#'('#似乎缺失了
Use #"(Active)"# to make a comparison with this adjective.	用#"(Active)"#与这个形容词作比较。
Use #"A"# instead of #'An'# if the following word doesn't start with a vowel sound, e.g. #'a sentence', 'a university'#	如果以下单词不是以元音开头，例如#'a sentence', 'a university'#，则使用#"A"#而不是#'An'#。
Use #"An"# instead of #'A'# if the following word starts with a vowel sound, e.g. #'an article', 'an hour'#	如果以下单词以元音开头，则使用#"An"#而不是#'A'#，例如#'an article', 'an hour'#
Use #"Englisher"# to make a comparison with this adjective.	用#"Englisher"#来比较这个形容词。
Use #"a Million"# or use a number before #'Million'#.	使用#"a Million"#或使用#'Million'#之前的数字。
Use #"an"# instead of #'a'# if the following word starts with a vowel sound, e.g. #'an article', 'an hour'#	如果以下单词以元音开头，例如#'an article', 'an hour'#等，请使用#"an"#而不是#“a”#。 
Use #"beautifuler"# to make a comparison with this adjective.	用#"beautifuler"#来和这个形容词作比较。
Use #"best"# if you mean to express an extreme with this adjective.	如果你想用这个形容词表达一个极端，就用#"best"#。
Use #"better"# to make a comparison with this adjective.	用#"better"#与这个形容词作比较。
Use #"between" + "and"# not #"to."#  Try this: #"Between 18 and 1895"#.	使用#"between" + "and"#而不是#"to."# 尝试一下：#"Between 18 and 1895"#。
Use #"bigger"# to make a comparison with this adjective.	用#"bigger"#这个形容词作比较。
Use #"good at"# to mean #"skilled"# with school subjects. Try this: #"best at English"#.	用#"good at"#来表示对学校科目的#"skilled"#。试试这个：#"best at English"#。
Use #"greater"# to make a comparison with this adjective.	用#"greater"#与这个形容词作比较。
Use #"less", "lesser", "littler"# to make a comparison with this adjective.	用#"less", "lesser", "littler"#与这个形容词作比较。
Use #"longer"# to make a comparison with this adjective.	用#"longer"#与这个形容词作比较。
Use #"lovelier"# to make a comparison with this adjective.	用#"lovelier"#来比较这个形容词。
Use #"lowest"# if you mean to express an extreme with this adjective.	如果你想用这个形容词表达一个极端，用#"lowest"#这个词。
Use #"many"# with countable nouns.	对可数名词使用#"many"#。
Use #"much" or "little"# with uncountable nouns.	对不可数名词使用#"much" or "little"#。
Use #"neatest"# if you mean to express an extreme with this adjective.	如果你想用这个形容词表达一个极端，用#"neatest"#。
Use #"patienter"# to make a comparison with this adjective.	用#"patienter"#与这个形容词作比较。
Use #"the"# with the superlative.	用最高级的#"the"#。
Use #"thinner"# to make a comparison with this adjective.	用#"thinner"#与这个形容词作比较。
Use #"well on"# with #"examinations"#. Try this: "do well on examinations".	用#"well on"#和#"examinations"#。试一试：“考试考得好”。
Use #"well on"# with #"exams"#. Try this: #"do well on exams"#.	使用#"well on"#和#"exams"#。试试这个：#“考得好”#。
Use #"worse"# to make a comparison with this adjective.	用#"worse"#来比较这个形容词。
Use a comma before #'and'# if it connects two independent clauses (unless they are closely connected and short).	如果连接两个独立的从句，请在#'and'#之前使用逗号（除非它们紧密相连且简短）。
Use a plural noun after #'some'# or use #"staff members"#.	在#'some'#后面使用复数名词或使用#"staff members"#。
Use a singular form of the numeral here: #"0 thousand"#.	此处使用数字的单数形式：#"0 thousand"#。
Use either #"equally"# or #"as"# on its own. When comparing two nouns, use #"just as"#.	单独使用#"equally"#或#"as"#。比较两个名词时，使用#"just as"#。
Use first person plural verb with #'we': "are", "were"#.	用第一人称复数动词和#'we': "are", "were"#。
Use only #"best"# (without #'more'#) when you use the superlative.	当你使用最高级时，只使用#"best"#（没有#'more'#）。
Use only #"taller"# (without #"More"#) when you use the comparative.	当你使用比较级时，只使用#"taller"#（没有#'more'#）。
Use past participle here: #"sawed", "sawn", "seen".#	此处使用过去分词：#"sawed", "sawn", "seen".#。
Use second person verb with #'you'#: #"are" or "were"#.	#'you'#用第二人称动词: #"are" or "were"#。
Use third-person plural verb with #'they'#: #"are", "were"#.	#“they”#用第三人称复数动词和：#"are", "were"#。
Use third-person verb with #'He'#: #"is" or "was"#.	#“he”#用第三人称动词：#"is" or "was"#。
Verbs #'advise'# and #'remind'# are used with infinitive: #"to visit"#.	动词#'advise'#和#'remind'#与不定式#"to visit"#连用。
When a number forms part of an adjectival compound, use a hyphen: #"0-meter"#	当一个数字构成一个形容词复合词的一部分时，使用连字符：#"0-meter"#
When a number forms part of an adjectival compound, use hyphens: #"thirteen-year-old"#	当一个数字构成一个形容词复合词的一部分时，使用连字符：#"thirteen-year-old"#
When a person is directly addressed, a comma should set off the name: #"Also, please"#?	当一个人被直接称呼时，用逗号隔开他的名字：#"Also, please"#？
When referring to yourself and somebody else, put their name first. Also check whether the nominative form "I" is required here.	当提到你自己和别人时，把他们的名字放在第一位。还要检查这里是否需要提名表格“I”。
When specifying a month and year, the comma is unnecessary: #"April 2018".#	指定月份和年份时，不需要逗号：#"April 2018".#。
When we speak of types of meals, the article is not required: #"Have breakfast"#	当我们谈到饭菜的种类时，不需要冠词：#"Have breakfast"#
With the word #'someone'# in a subjunctive clause, use the base form of a verb: #"interest"#.	在虚拟从句中使用#'someone'#这个词时，使用动词的基本形式：#"interest"#。
Writing for an international audience? Consider adding the metric equivalent.	为国际观众写作？考虑添加公制等效值。
Wrong phrase. Use #"1:00"# or #"1 O'clock"#.	错误的短语。使用#"1:00"#或#"1 O'clock"#。
Wrong phrase; 'o'clock is used only at the full hour. Use simply #"2:40"# instead.	错误的短语；‘点钟’只在整小时使用。只需使用#"2:40"#即可。
You can apply for #a job or welfare#, but you apply to #a college#. Revise: #"apply to this college"#.	你可以申请#工作或福利#，但你可以申请#大学#。修订：#"apply to this college"#。
You miss the verb here. You should rather write: #"I'm afraid"#.	你错过了这里的动词。你应该写下：#"I'm afraid"#。
